time,gFx,gFy,gFz,0
22:25:05:337,0.5851,-0.1688,0.7195,0.948
22:25:05:339,0.6130,-0.1715,0.7366,0.979
22:25:05:342,0.6335,-0.1717,0.7540,1.005
22:25:05:344,0.6496,-0.1693,0.7699,1.027
22:25:05:345,0.6621,-0.1686,0.7801,1.043
22:25:05:347,0.6699,-0.1757,0.7835,1.051
22:25:05:349,0.6826,-0.1881,0.7884,1.065
22:25:05:351,0.7038,-0.1908,0.7899,1.080
22:25:05:353,0.7273,-0.1825,0.7838,1.090
22:25:05:354,0.7505,-0.1686,0.7806,1.101
22:25:05:357,0.7715,-0.1515,0.7835,1.116
22:25:05:359,0.7874,-0.1324,0.7889,1.130
22:25:05:361,0.7979,-0.1158,0.7943,1.140
22:25:05:363,0.8052,-0.1048,0.8026,1.150
22:25:05:365,0.8121,-0.0989,0.8165,1.165
22:25:05:367,0.8218,-0.0953,0.8309,1.181
22:25:05:369,0.8341,-0.0928,0.8410,1.197
22:25:05:370,0.8453,-0.0926,0.8451,1.208
22:25:05:373,0.8543,-0.0938,0.8434,1.213
22:25:05:378,0.8612,-0.0943,0.8366,1.213
22:25:05:379,0.8666,-0.0926,0.8263,1.210
22:25:05:381,0.8680,-0.0880,0.8148,1.203
22:25:05:383,0.8678,-0.0836,0.7987,1.191
22:25:05:384,0.8688,-0.0804,0.7743,1.175
22:25:05:386,0.8678,-0.0789,0.7594,1.164
22:25:05:387,0.8624,-0.0750,0.7266,1.139
22:25:05:389,0.8492,-0.0687,0.6734,1.094
22:25:05:391,0.8431,-0.0679,0.6580,1.080
22:25:05:394,0.8331,-0.0652,0.6299,1.054
22:25:05:395,0.8260,-0.0601,0.6028,1.032
22:25:05:397,0.8209,-0.0550,0.5769,1.013
22:25:05:398,0.8189,-0.0496,0.5580,1.000
22:25:05:401,0.8194,-0.0447,0.5461,0.994
22:25:05:403,0.8196,-0.0403,0.5383,0.989
22:25:05:404,0.8216,-0.0369,0.5331,0.988
22:25:05:406,0.8209,-0.0354,0.5290,0.985
22:25:05:409,0.8128,-0.0376,0.5256,0.977
22:25:05:412,0.8043,-0.0410,0.5236,0.968
22:25:05:413,0.7972,-0.0437,0.5212,0.961
22:25:05:415,0.7920,-0.0450,0.5177,0.955
22:25:05:416,0.7889,-0.0450,0.5129,0.950
22:25:05:418,0.7867,-0.0437,0.5072,0.945
22:25:05:421,0.7876,-0.0425,0.5070,0.945
22:25:05:422,0.7896,-0.0428,0.5160,0.952
22:25:05:426,0.7879,-0.0437,0.5348,0.961
22:25:05:427,0.7828,-0.0447,0.5595,0.972
22:25:05:429,0.7788,-0.0432,0.5842,0.983
22:25:05:430,0.7815,-0.0393,0.6050,0.998
22:25:05:433,0.7891,-0.0325,0.6252,1.017
22:25:05:435,0.7977,-0.0227,0.6426,1.035
22:25:05:436,0.8045,-0.0137,0.6570,1.050
22:25:05:439,0.8055,-0.0076,0.6724,1.061
22:25:05:441,0.8035,-0.0039,0.6873,1.069
22:25:05:444,0.8003,-0.0020,0.6968,1.073
22:25:05:445,0.7964,0.0020,0.6988,1.072
22:25:05:446,0.7925,0.0071,0.6932,1.065
22:25:05:449,0.7913,0.0110,0.6812,1.057
22:25:05:450,0.7928,0.0149,0.6653,1.047
22:25:05:453,0.7947,0.0191,0.6467,1.037
22:25:05:454,0.7979,0.0239,0.6294,1.029
22:25:05:456,0.8040,0.0288,0.6125,1.024
