time,gFx,gFy,gFz,0
17:18:25:774,-0.3711,0.7173,0.5214,1.009
17:18:25:774,-0.3711,0.7168,0.5197,1.007
17:18:25:777,-0.3718,0.7168,0.5185,1.007
17:18:25:779,-0.3716,0.7161,0.5180,1.006
17:18:25:781,-0.3713,0.7156,0.5175,1.005
17:18:25:782,-0.3726,0.7151,0.5168,1.005
17:18:25:785,-0.3740,0.7141,0.5158,1.004
17:18:25:790,-0.3748,0.7139,0.5153,1.004
17:18:25:791,-0.3760,0.7139,0.5151,1.004
17:18:25:792,-0.3772,0.7139,0.5153,1.005
17:18:25:793,-0.3779,0.7141,0.5151,1.005
17:18:25:795,-0.3784,0.7141,0.5133,1.005
17:18:25:797,-0.3779,0.7136,0.5116,1.003
17:18:25:798,-0.3775,0.7124,0.5116,1.002
17:18:25:801,-0.3784,0.7124,0.5116,1.002
17:18:25:804,-0.3792,0.7126,0.5104,1.002
17:18:25:805,-0.3784,0.7129,0.5097,1.002
17:18:25:806,-0.3777,0.7139,0.5097,1.002
17:18:25:809,-0.3779,0.7148,0.5092,1.003
17:18:25:810,-0.3782,0.7153,0.5080,1.003
17:18:25:813,-0.3784,0.7161,0.5070,1.003
17:18:25:814,-0.3792,0.7173,0.5070,1.004
17:18:25:817,-0.3792,0.7185,0.5070,1.005
17:18:25:821,-0.3797,0.7197,0.5072,1.006
17:18:25:823,-0.3799,0.7217,0.5077,1.008
17:18:25:824,-0.3799,0.7224,0.5075,1.008
17:18:25:826,-0.3804,0.7231,0.5075,1.009
17:18:25:827,-0.3806,0.7234,0.5089,1.010
17:18:25:829,-0.3804,0.7241,0.5107,1.012
17:18:25:830,-0.3801,0.7253,0.5109,1.013
17:18:25:832,-0.3792,0.7261,0.5111,1.013
17:18:25:834,-0.3779,0.7266,0.5116,1.013
17:18:25:837,-0.3770,0.7275,0.5129,1.014
17:18:25:839,-0.3767,0.7273,0.5141,1.014
17:18:25:841,-0.3757,0.7261,0.5143,1.013
17:18:25:842,-0.3755,0.7258,0.5141,1.013
17:18:25:845,-0.3745,0.7261,0.5138,1.013
17:18:25:846,-0.3735,0.7263,0.5136,1.012
17:18:25:848,-0.3733,0.7263,0.5133,1.012
17:18:25:850,-0.3726,0.7261,0.5133,1.012
17:18:25:853,-0.3718,0.7258,0.5136,1.011
17:18:25:855,-0.3713,0.7251,0.5126,1.010
17:18:25:856,-0.3701,0.7249,0.5121,1.009
17:18:25:858,-0.3684,0.7239,0.5116,1.007
17:18:25:860,-0.3677,0.7224,0.5094,1.005
17:18:25:862,-0.3674,0.7214,0.5070,1.003
17:18:25:865,-0.3669,0.7202,0.5050,1.001
17:18:25:866,-0.3667,0.7185,0.5036,0.998
17:18:25:869,-0.3662,0.7170,0.5019,0.996
17:18:25:872,-0.3672,0.7161,0.5001,0.995
17:18:25:874,-0.3677,0.7151,0.4987,0.994
17:18:25:875,-0.3679,0.7136,0.4977,0.992
17:18:25:877,-0.3687,0.7126,0.4977,0.992
17:18:25:878,-0.3694,0.7112,0.4972,0.991
17:18:25:880,-0.3701,0.7097,0.4965,0.989
17:18:25:882,-0.3709,0.7100,0.4960,0.989
17:18:25:885,-0.3718,0.7104,0.4962,0.990
17:18:25:886,-0.3726,0.7104,0.4967,0.991
17:18:25:890,-0.3723,0.7114,0.4977,0.992
17:18:25:892,-0.3728,0.7114,0.4984,0.993
17:18:25:893,-0.3740,0.7109,0.4994,0.993
17:18:25:895,-0.3753,0.7117,0.5004,0.995
17:18:25:897,-0.3765,0.7134,0.4999,0.996
17:18:25:898,-0.3770,0.7151,0.5001,0.998
17:18:25:901,-0.3782,0.7166,0.5006,1.000
17:18:25:903,-0.3792,0.7173,0.5016,1.001
17:18:25:909,-0.3799,0.7183,0.5023,1.003
17:18:25:911,-0.3809,0.7195,0.5031,1.004
17:18:25:913,-0.3811,0.7197,0.5031,1.005
17:18:25:914,-0.3811,0.7202,0.5028,1.005
17:18:25:915,-0.3819,0.7214,0.5031,1.006
17:18:25:916,-0.3831,0.7222,0.5038,1.008
17:18:25:917,-0.3845,0.7229,0.5043,1.009
17:18:25:918,-0.3853,0.7244,0.5048,1.011
17:18:25:925,-0.3862,0.7244,0.5050,1.011
17:18:25:927,-0.3875,0.7241,0.5063,1.012
17:18:25:928,-0.3880,0.7244,0.5080,1.013
17:18:25:929,-0.3882,0.7244,0.5094,1.014
17:18:25:929,-0.3875,0.7246,0.5104,1.015
17:18:25:930,-0.3870,0.7251,0.5114,1.015
17:18:25:933,-0.3862,0.7256,0.5124,1.016
17:18:25:934,-0.3858,0.7251,0.5131,1.016
17:18:25:937,-0.3853,0.7246,0.5143,1.016
17:18:25:939,-0.3853,0.7246,0.5148,1.016
17:18:25:941,-0.3843,0.7241,0.5143,1.015
17:18:25:942,-0.3840,0.7229,0.5148,1.014
17:18:25:944,-0.3833,0.7227,0.5146,1.014
17:18:25:946,-0.3831,0.7222,0.5129,1.012
17:18:25:949,-0.3826,0.7217,0.5114,1.011
17:18:25:950,-0.3821,0.7200,0.5102,1.009
17:18:25:953,-0.3816,0.7180,0.5085,1.006
17:18:25:955,-0.3806,0.7166,0.5070,1.004
17:18:25:957,-0.3792,0.7156,0.5055,1.002
17:18:25:959,-0.3775,0.7144,0.5043,1.000
17:18:25:961,-0.3753,0.7139,0.5041,0.998
